LAT,LON,YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,PRECTOT,QV2M,RH2M,PS,WS50M_RANGE,WS10M_RANGE,WS50M,WS10M,T2M_RANGE
52.22961,21.01811,2015,04,01,    4.87,    1.32,    3.03,    6.29,    4.20,   86.80,   97.99,    4.97,    4.88,   13.06,   10.05,    3.55
52.22961,21.01811,2015,04,02,    5.19,   -1.29,    1.84,    1.60,    3.50,   79.32,   98.76,    9.74,    7.43,    8.11,    6.07,    6.48
52.22961,21.01811,2015,04,03,    6.16,   -2.55,    1.80,    2.29,    3.69,   84.73,   99.53,    3.39,    3.11,    7.49,    5.58,    8.71
52.22961,21.01811,2015,04,04,    5.38,   -1.91,    1.72,    0.63,    3.51,   81.00,   99.72,    2.62,    3.07,    6.02,    4.41,    7.29
52.22961,21.01811,2015,04,05,    5.41,   -1.04,    2.05,    2.07,    3.71,   84.05,  100.16,    1.51,    2.11,    6.28,    4.62,    6.44
52.22961,21.01811,2015,04,06,    5.95,   -0.44,    2.48,    1.16,    3.71,   82.19,  100.85,    3.14,    1.89,    5.67,    3.88,    6.39
52.22961,21.01811,2015,04,07,    8.80,   -0.84,    3.98,    0.29,    3.84,   76.77,  101.23,    3.85,    3.02,    6.88,    4.96,    9.64
52.22961,21.01811,2015,04,08,   12.87,    1.67,    7.51,    0.14,    4.66,   72.63,  101.00,    4.62,    2.33,    7.35,    5.36,   11.20
52.22961,21.01811,2015,04,09,   13.62,   -2.59,    6.15,    0.00,    3.20,   55.22,  101.59,    6.02,    2.25,    5.26,    3.11,   16.21
52.22961,21.01811,2015,04,10,   17.61,    2.38,   10.29,    0.00,    4.63,   59.79,  100.98,    5.02,    2.90,    4.41,    3.01,   15.23
52.22961,21.01811,2015,04,11,   19.82,    3.72,   12.36,    0.01,    5.48,   61.49,  100.59,    5.08,    2.79,    5.45,    3.56,   16.10
52.22961,21.01811,2015,04,12,   13.28,    4.16,   10.34,    1.19,    5.01,   64.51,  100.98,    7.16,    7.12,    8.36,    5.93,    9.11
52.22961,21.01811,2015,04,13,   12.80,    3.30,    7.23,    1.10,    4.01,   63.46,  100.49,    8.70,    9.49,   11.61,    8.41,    9.50
52.22961,21.01811,2015,04,14,    9.35,    0.29,    5.55,    1.00,    3.64,   64.76,  100.61,    3.99,    4.93,    8.78,    6.47,    9.07
52.22961,21.01811,2015,04,15,   14.99,    5.08,   10.46,    1.82,    6.19,   78.00,   99.69,    3.84,    4.09,    9.50,    6.76,    9.91
52.22961,21.01811,2015,04,16,   13.78,    3.36,    9.76,    0.00,    4.44,   58.49,   99.46,    5.85,    5.91,    9.77,    6.86,   10.43
52.22961,21.01811,2015,04,17,   11.51,    1.48,    6.47,    0.02,    3.97,   65.73,   99.67,    2.82,    4.34,    7.18,    5.04,   10.03
52.22961,21.01811,2015,04,18,    7.31,    0.52,    3.99,    1.08,    3.87,   76.39,  100.20,    3.22,    3.74,    7.83,    5.73,    6.79
52.22961,21.01811,2015,04,19,    9.66,    1.36,    5.22,    1.06,    3.90,   70.83,  100.32,    3.80,    3.17,    7.60,    5.65,    8.30
52.22961,21.01811,2015,04,20,   12.18,    2.21,    7.00,    0.01,    3.87,   61.92,  100.06,    7.39,    6.96,   11.16,    8.40,    9.97
52.22961,21.01811,2015,04,21,   14.28,    0.92,    7.36,    0.05,    4.23,   66.24,  100.46,    4.21,    3.95,    6.74,    4.85,   13.36
52.22961,21.01811,2015,04,22,   15.81,    4.03,    9.71,    0.00,    4.56,   61.13,  100.72,    4.48,    3.93,    3.44,    2.58,   11.78
52.22961,21.01811,2015,04,23,   17.97,    2.55,   10.81,    0.00,    4.82,   59.63,  100.06,    7.30,    6.94,    9.05,    6.13,   15.42
52.22961,21.01811,2015,04,24,   19.00,    4.95,   12.82,    0.00,    6.12,   66.03,   99.85,    7.63,    6.28,    5.55,    3.87,   14.05
52.22961,21.01811,2015,04,25,   21.26,    6.44,   15.01,    0.04,    6.62,   61.88,   99.73,    5.29,    2.45,    5.16,    3.36,   14.82
52.22961,21.01811,2015,04,26,   16.12,    9.53,   13.46,    4.30,    8.17,   84.11,   99.45,    5.12,    3.68,    5.64,    3.79,    6.60
52.22961,21.01811,2015,04,27,   22.52,    7.68,   15.88,    0.85,    8.38,   73.61,   99.21,    6.67,    3.03,    5.46,    3.46,   14.84
52.22961,21.01811,2015,04,28,   23.11,    7.55,   16.15,    6.09,    8.88,   76.53,   99.01,    9.03,    7.35,    5.82,    4.13,   15.56
52.22961,21.01811,2015,04,29,   12.62,    2.77,    7.81,    6.31,    4.36,   66.19,  100.32,    9.05,    7.78,    8.02,    6.27,    9.86
52.22961,21.01811,2015,04,30,   14.78,    2.59,    9.34,    0.00,    4.20,   57.63,  100.47,    3.16,    3.77,    6.37,    4.20,   12.19
52.22961,21.01811,2015,05,01,   15.71,    6.28,   10.53,    2.04,    5.61,   70.12,   99.41,    3.61,    4.34,    6.24,    4.23,    9.43
52.22961,21.01811,2015,05,02,   15.43,    3.35,    9.55,    0.01,    4.58,   61.27,   99.58,    3.63,    3.24,    4.88,    3.43,   12.08
52.22961,21.01811,2015,05,03,   16.68,    2.87,   10.47,    0.00,    4.18,   52.97,  100.07,    8.70,    4.23,    3.25,    1.87,   13.80
52.22961,21.01811,2015,05,04,   16.91,    6.10,   12.01,    0.53,    6.58,   74.93,   99.86,    8.37,    7.05,    5.93,    4.35,   10.82
52.22961,21.01811,2015,05,05,   22.40,    9.64,   16.91,    0.26,    8.75,   72.48,   99.85,    6.57,    3.58,    5.31,    3.59,   12.76
52.22961,21.01811,2015,05,06,   19.35,   10.64,   15.88,   15.77,   10.10,   89.09,   99.69,    4.10,    3.30,    5.38,    3.77,    8.71
52.22961,21.01811,2015,05,07,   19.48,    9.33,   14.27,    0.14,    6.77,   66.56,  100.04,    7.15,    5.36,    5.63,    3.82,   10.15
52.22961,21.01811,2015,05,08,   17.52,    6.34,   12.70,    0.05,    5.76,   63.15,  100.53,    4.82,    2.91,    3.78,    2.64,   11.17
